"Trcid";"Title";"Shortdescription";"Longdescription";"Calendarsummary";"TitleEN";"ShortdescriptionEN";"LongdescriptionEN";"CalendarsummaryEN";"Types";"Ids";"Locatienaam";"City";"Adres";"Zipcode";"Latitude";"Longitude";"Urls";"Media";"Thumbnail";"Datepattern_startdate";"Datepattern_enddate";"Singledates";"Type1";"Lastupdated";
"38bcaee8-30b7-467b-b44b-dcb4e8d07603";"Huishoudbeurs";"De RAI Amsterdam staat van 17 tot en met 25 februari 2018 in het teken van de Huishoudbeurs. Met honderden exposanten, die niet kunnen wachten om je hun nieuwste producten te laten zien, is het een groot huishoud- en shopfestijn. Tevens is er een eigen trouwpaviljoen waar toekomstige bruidsparen hun hart kunnen ophalen!";"<h2>Mode, beauty en meer</h2> <br /> Hoewel de naam nog anders doet vermoeden, is de Huishoudbeurs tegenwoordig echt niet meer alleen interessant voor huisvrouwen. Natuurlijk kun je er een nieuwe stofzuiger kopen en handige keukenhulpjes uitproberen, maar je bent er ook aan het goede adres voor mode, make-up, eten en drinken. Niemand hoeft zich te vervelen tijdens dit grote evenement. <br /> <br /> Ga naar de website van de Huishoudbeurs voor meer informatie en tickets (&euro:17,50 online tijdens het evenement, &euro:19,50 aan de deur: prijzen 2017). Een ticket voor de Huishoudbeurs geeft ook toegang tot de Negenmaandenbeurs (21 t/m 25&nbsp:<span style=&quot:font-size: 12.8px:&quot: rel=&quot:font-size: 12.8000001907349px:&quot:>februari</span> 2018).<br /> <br /> [Foto: NFP Photography]";"Za 17 februari 2018 t/m zo 25 februari 2018 ma-wo: 11:00 - 18:00 uur, do, vr: 11:00 - 22:00 uur, za, zo: 11:00 - 18:00 uur.";"Homemakers' Fair";"Amsterdam RAI hosts the Homemakers' Fair every February. With hundreds of exhibitors lining up to show off the latest products on the market, this annual event is a household and shopping feast! ";"<h2>Huishoudbeurs Amsterdam</h2> Having sprung into life in 1950 as an opportunity to sell various homewares to Dutch house wives, the modern-day version of the <strong>Homemakers&rsquo: Fair</strong> has thankfully diversified beyond vacuum cleaners and kitchen aids. These days, fashion, beauty, food and drink and entertainment all play leading roles at this huge event. <br /> <br /> <strong></strong> <h2>Tickets &amp: info<strong></strong></h2> <strong></strong> For more tickets and invite visit the <a target=&quot:_blank&quot:>Homemakers' Fair website</a> (&euro:17,50 online and &euro:19.50 at the door). A ticket to the Homemakers&rsquo: Fair also grants access to the Nine Months Fair).";"Sa 17 February 2018 including Su 25 February 2018 Mo -We : 11:00 - 18:00 hour, Th , Fr : 11:00 - 22:00 hour, Sa , Su: 11:00 - 18:00 hour.";"";"2.3.1";"RAI Amsterdam";"AMSTERDAM";"Europaboulevard 22";"1078 RV";"52,3390470";"4,8911530";"http://www.huishoudbeurs.nl/";"https://media.iamsterdam.com/ndtrc/Images/20130110/0820b9f2-1e29-4383-97e5-9985e60e807d.jpg";"https://media.iamsterdam.com/ndtrc/Images/20130110/0820b9f2-1e29-4383-97e5-9985e60e807d.jpg";"17-02-2018";"25-02-2018";"";"";"2017-03-16 10:30:10";
"4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81";"HISWA Amsterdam Boat Show";"Voor booteigenaren en watersporters is de HISWA een goede voorbereiding op het nieuwe seizoen. Maar ook wanneer je niet een echte waterrat bent, is deze beurs een bezoek waard. HISWA vindt in maart 2018 plaats in de RAI Amsterdam.";"<h2>Waterpret voor jong en oud</h2> Met honderden kleinere en middelgrote boten, clinics en workshops, aanbiedingen en accessoires is er voor jong en oud genoeg te zien en beleven. In de verschillende paviljoens kun je je vergapen aan de boten en nieuwe producten op watersportgebied of meedoen aan een van de vele activiteiten en workshops. <br /> <br /> Meer informatie over het programma en kaartverkoop vind je op de HISWA website.";"Wo 7 maart 2018 11:00 - 18:00 uur, do 8 maart 2018 11:00 - 22:00 uur, vr 9 maart 2018 11:00 - 22:00 uur, za 10 maart 2018 10:00 - 18:00 uur, zo 11 maart 2018 10:00 - 18:00 uur, Toelichting: Data voor 2018 onder voorbehoud.";"HISWA Amsterdam Boat Show";"For boat owners and water sports enthusiasts, the HISWA Amsterdam Boat Show is a great introduction to the new season. Even if you don?t consider yourself a sailor, this impressive expo is still worth a visit when it returns to RAI Amsterdam in March.";"<h2>HISWA brings aquatic fun to Amsterdam</h2> With hundreds of small and mid-sized boats, clinics and workshops, special offers and boating accessories, there&rsquo:s plenty to keep the whole family entertained at the <strong>HISWA Amsterdam Boat Show</strong> at <strong>RAI Amsterdam</strong>. At the many pavilions in the enormous conference centre, visitors can admire new boats and related products or get hands-on with one of the many aquatic activities.<br /> <br /> Check the <a href=&quot:http://www.hiswarai.nl/&quot: target=&quot:_blank&quot:>HISWA festival website</a> for more information and tickets.";"We 7 March 2018 11:00 - 18:00 hour, Th 8 March 2018 11:00 - 22:00 hour, Fr 9 March 2018 11:00 - 22:00 hour, Sa 10 March 2018 10:00 - 18:00 hour, Su 11 March 2018 10:00 - 18:00 hour, Explanation: Date to be confirmed.";"";"2.3.1";"RAI Amsterdam";"AMSTERDAM";"Europaboulevard 22";"1078 RV";"52,3390470";"4,8911530";"http://www.hiswarai.nl/";"https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/44f409dd-9631-4d25-ba00-7223d9d4ed55.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/6222927d-57a7-4de7-9f67-cc9137515ca8.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/9a4b30cf-f6d3-45d6-95c6-4f6756395f25.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/f233ca70-8820-42dd-9b49-f6eaefad77d1.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/091a9716-1175-4588-97ff-9119dd038fec.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/35ac54c9-169d-4c5d-ab4e-bdfa8253c339.jpg";"https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/44f409dd-9631-4d25-ba00-7223d9d4ed55.jpg";"";"";"07-03-2018,08-03-2018,09-03-2018,10-03-2018,11-03-2018";"";"2017-03-24 11:17:05";
"d714a951-9953-40cc-a874-f8bda5cccbfa";"FOR REAL";"De kunstbeurs FOR REAL die in de Passenger Terminal Amsterdam plaats vindt, keert in 2018 terug. Tijdens gespecialiseerde kunstbeurs FOR REAL tref je gerenommeerde galerieën uit binnen- en buitenland aan, die werk tonen en verkopen van kunstenaars die zich hebben toegelegd op de figuratie en het realisme in schilder- en beeldhouwkunst. ";"<h2>Figuratieve kunstbeurs</h2> FOR REAL claimt de enige kunstbeurs ter wereld te zijn waar uitsluitend hedendaagse figuratieve kunst te zien is. Er is zowel werk te vinden van kunstenaars die al grote bekendheid genieten, als van jong talent dat de figuratieve kunst nieuwe impulsen geeft.<br /> <br /> Bekijk <a href=&quot:http://www.forreal.nu/&quot:>de website</a> van FOR REAL voor kaarten en meer informatie.";"Do 18 januari 2018 11:00 - 19:00 uur, vr 19 januari 2018 11:00 - 20:00 uur, za 20 januari 2018 11:00 - 19:00 uur, zo 21 januari 2018 11:00 - 19:00 uur, Toelichting: Data en tijden voor 2018 genoemd onder voorbehoud.";"FOR REAL";"Held in January at the Passenger Terminal Amsterdam, the annual FOR REAL art fair (formerly known as Realisme) welcomes a huge range of renowned galleries from the Netherlands and abroad as they present (and sell) works by Dutch and international artists working in various mediums within the figurative and realistic genres. ";"<h2>Figurative art fair in Amsterdam</h2> <p>With lofty claims to being the only art fair dedicated solely to figurative art, <strong>FOR REAL</strong>&nbsp:showcases established artists with a respectable oeuvre as well as young up-and-comers breathing new life into the genre. </p> <p>Check the <a target=&quot:_blank&quot: href=&quot:http://www.realismeamsterdam.com/&quot:>FOR REAL website</a> for tickets and more information.</p>";"Th 18 January 2018 11:00 - 19:00 hour, Fr 19 January 2018 11:00 - 20:00 hour, Sa 20 January 2018 11:00 - 19:00 hour, Su 21 January 2018 11:00 - 19:00 hour, Explanation: Dates and times for 2018 to be confirmed.";"";"2.3.1";"";"AMSTERDAM";"Piet Heinkade 27";"1019 BR";"52,3776950";"4,9153450";"http://www.realismeamsterdam.com/";"https://media.iamsterdam.com/ndtrc/Images/d7/d714a951-9953-40cc-a874-f8bda5cccbfa/446da1c2-c265-4df1-8fb0-f5046b4cf347.jpg,https://media.iamsterdam.com/ndtrc/Images/d7/d714a951-9953-40cc-a874-f8bda5cccbfa/1f40ed37-3c96-48b3-a290-8a5b965159f8.jpg,https://media.iamsterdam.com/ndtrc/Images/d7/d714a951-9953-40cc-a874-f8bda5cccbfa/801c34d9-3ab5-41fd-8b21-d5cdb2778361.jpg";"https://media.iamsterdam.com/ndtrc/Images/d7/d714a951-9953-40cc-a874-f8bda5cccbfa/446da1c2-c265-4df1-8fb0-f5046b4cf347.jpg";"";"";"18-01-2018,19-01-2018,20-01-2018,21-01-2018";"";"2017-01-23 10:45:33";
"0247f63c-a979-45a9-99fe-399248423f13";"Negenmaandenbeurs";"Ieder jaar verandert de RAI Amsterdam vijf dagen lang in een paradijs voor (aanstaande) ouders. De Negenmaandenbeurs vindt in 2018 plaats van 21 tot en met 25 februari.";"<h2>Beurs voor het ouderschap</h2> Al vele jaren is de Negenmaandenbeurs d&eacute: beurs voor ouders, waar ze zich kunnen laten inspireren op het gebied van producten voor kinderen in alle leeftijden. Diverse bedrijven laten hun nieuwste producten zien en bezoekers kunnen uitgebreid shoppen, modeshows bekijken, workshops en lezingen volgen en nog veel meer.<br /> <br /> <h2>Tickets en informatie</h2> Bezoek de website van de Negenmaandenbeurs voor meer informatie en tickets (&euro:17,50,- online tijdens het event en &euro:19,50 aan de deur, prijzen 2017). Een ticket voor de Negenmaandenbeurs geeft ook toegang tot de Huishoudbeurs (17 tot en met 25 februari 2018).";"Wo 21 februari 2018 t/m zo 25 februari 2018 wo-zo: geopend, Toelichting: Data voor 2018 onder voorbehoud.";"Nine Months Fair";"For five days every year, the cavernous RAI Amsterdam is transformed into a paradise for (prospective) parents during the Nine Months Fair. ";"<h2>Baby and parenting event</h2> For years, the <strong>Nine Months Fair</strong> (Negenmaandenbeurs) has been welcoming parents from all walks of life as they look for baby-related inspiration, from nursery decorating ideas to baby clothes and more. A one-stop shop for everything parent and baby, the fair welcomes loads of companies displaying their latest products while visitors can also attend fashion shows, workshops, presentations and lectures. This annual event traditionally takes place alongside the Homemakers&rsquo: Fair.";"We 21 February 2018 including Su 25 February 2018 We -Su: Open, Explanation: Dates for 2018 to be confirmed.";"";"2.3.1";"RAI Amsterdam";"AMSTERDAM";"Europaboulevard 22";"1078 RV";"52,3390470";"4,8911530";"http://www.negenmaandenbeurs.nl";"https://media.iamsterdam.com/ndtrc/Images/02/0247f63c-a979-45a9-99fe-399248423f13/ec8df6a1-fb5e-43ff-96a2-364c19ffa0ce.jpg";"https://media.iamsterdam.com/ndtrc/Images/02/0247f63c-a979-45a9-99fe-399248423f13/ec8df6a1-fb5e-43ff-96a2-364c19ffa0ce.jpg";"21-02-2018";"25-02-2018";"";"";"2017-04-21 13:39:00";
"8d039e5d-516a-4132-b0aa-dbcb29a4cef2";"Amsterdam Art Fair";"Na het succes van Amsterdam Art Fair in de Citroëngarage (2015), op het Museumplein (2016) en kantoorpand aan de Huidekoperstraat (2017), direct om de hoek van De Nederlandsche Bank. Daarmee is de beurs als reizende pop-up beurs een feit. In 2018 keert deze beurs weer terug naar Amsterdam.";"<h2>Nieuwe kunstbeurs voor Amsterdam</h2> Vanaf mei 2018 nemen 40 van de beste galeries van Nederland hun intrek in deze tijdelijke locatie, voor de gelegenheid omgedoopt tot Kunsthal Koper, om 5 dagen lang de nieuwste werken te tonen van de meest spraakmakende kunstenaars van dit moment. Tussen het groeiend aantal beurzen blijft Amsterdam Art Fair toonaangevend en net als haar eerste twee edities, h&eacute:t evenement voor verzamelaars en liefhebbers. <br /> <br /> Kijk voor meer informatie op de website van de <a href=&quot:http://www.amsterdamartfair.nl&quot: target=&quot:_blank&quot:>Amsterdam Art Fair</a>.";"Wo 16 mei 2018 t/m zo 20 mei 2018 wo-zo: geopend, Toelichting: Data voor 2018 zijn genoemd onder voorbehoud.";"Amsterdam Art Fair";"The fourth edition of Amsterdam Art Fair will return in May 2018 at a new venue.";"<h2>A new art fair for Amsterdam</h2> Organised by Wim van Krimpen, former director of Den Haag&rsquo:s Gemeentemuseum and the Kunsthal Rotterdam and the founder of the KunstRAI, the Amsterdam Art Fair aims to be inclusive, making both weathered art connoisseurs and fledgeling collectors feel welcome. International appeal is key.&nbsp:";"We 16 May 2018 including Su 20 May 2018 We -Su: Open, Explanation: Dates for 2018 to be confirmed.";"";"2.3.1";"Kunsthal Koper";"AMSTERDAM";"Huidekoperstraat 28";"1017 ZM";"52,3585600";"4,8978300";"http://www.amsterdamartfair.nl/";"https://media.iamsterdam.com/ndtrc/Images/8d/8d039e5d-516a-4132-b0aa-dbcb29a4cef2/ad20c06b-91ec-4c49-a3b6-bbc01a3ed9f1.jpg";"https://media.iamsterdam.com/ndtrc/Images/8d/8d039e5d-516a-4132-b0aa-dbcb29a4cef2/ad20c06b-91ec-4c49-a3b6-bbc01a3ed9f1.jpg";"16-05-2018";"20-05-2018";"";"";"2017-05-22 09:46:36";
"7c3115d7-421b-4d0a-b148-86a7a7290b69";"Tattoo, Art en Street Art Conventie";"Er komen vele beroemde tattooartiesten uit binnen- en buitenland naar deze conventie, waaronder traditionele artiesten uit bijvoorbeeld Nieuw-Zeeland en Tahiti. Naast de tattoos kun je er ook graffiti en street art bewonderen. Tijdens Tattoo, Art en Street Art Conventie vinden er verschillende shows plaats. Verder zijn er bodypaintingdemonstraties en worden er tattoowedstrijden gehouden. De 14e editie van de Tattoo, Art en Street Art Conventie vindt weer plaats in de Amsterdam RAI.";"<h2></h2>";"Za 26 mei 2018 14:00 - 23:00 uur, zo 27 mei 2018 11:00 - 23:00 uur, ma 28 mei 2018 11:00 - 23:00 uur, Toelichting: Datum onder voorbehoud.";"Tattoo, Art & Street Art Convention";"Show us your ink! The Amsterdam Tattoo, Art & Street Art Convention returns in the Amsterdam RAI Exhibition & Convention Centre.";"<h2>Renowned international (tattoo) artists</h2> It&rsquo:s tats galore as the convention hosts a string of renowned domestic and international tattoo artists, including traditional artists from New Zealand and Tahiti. In addition, there&rsquo:ll be graffiti and other street art as well as stalls with skate fashion and all things rockabilly.<br /> <br /> Check the <a target=&quot:_blank&quot: href=&quot:http://www.tattooexpo.eu/nl/amsterdam/2017&quot:>festival's website</a> for tickets.";"Sa 26 May 2018 14:00 - 23:00 hour, Su 27 May 2018 11:00 - 23:00 hour, Mo 28 May 2018 11:00 - 23:00 hour, Explanation: Date to be confirmed.";"";"2.3.1";"RAI Amsterdam";"AMSTERDAM";"Europaplein";"1078 GZ";"52,3410090";"4,8896750";"https://www.tattooexpo.eu/nl/amsterdam/2017";"https://media.iamsterdam.com/ndtrc/Images/20130513/3e70ba52-5d71-4ee3-a1f9-5b5af854fd10.jpg,https://media.iamsterdam.com/ndtrc/Images/7c/7c3115d7-421b-4d0a-b148-86a7a7290b69/86a9960c-6e3e-41d5-b541-aadbcfb0b588.jpg,https://media.iamsterdam.com/ndtrc/Images/7c/7c3115d7-421b-4d0a-b148-86a7a7290b69/4e77888a-2f94-47cc-bb8f-5141cafdb455.jpg,https://media.iamsterdam.com/ndtrc/Images/7c/7c3115d7-421b-4d0a-b148-86a7a7290b69/df734030-e328-4a41-8c7c-21d0872045d0.jpg,https://media.iamsterdam.com/ndtrc/Images/7c/7c3115d7-421b-4d0a-b148-86a7a7290b69/5a6bbbd6-923c-4458-9706-0fdd508b6a59.jpg";"https://media.iamsterdam.com/ndtrc/Images/20130513/3e70ba52-5d71-4ee3-a1f9-5b5af854fd10.jpg";"";"";"26-05-2018,27-05-2018,28-05-2018";"";"2017-06-13 11:22:08";
"47f6bd1c-c5fd-46c4-aebf-367a6369a967";"ITEA";"De International Talent Event Amsterdam (ITEA) helpt studenten die bijna afstuderen om voor te bereiden om het werkleven. Een unieke kans om werknemers te ontmoeten uit de internationale arbeidsmarkt in Amsterdam, waar je je netwerk kunt uitbreiden, je vaardigheden kunt laten zien en waar je je kunt oriënteren op je toekomstige carrière. In The Student Hotel Amsterdam.";"";"Za 21 april 2018 09:00 uur, Toelichting: Datum onder voorbehoud.";"ITEA ? International Talent Event Amsterdam";"The International Talent Event Amsterdam (ITEA) prepares students and graduates to enter the workforce. You?ll come face-to-face with recruiters from top companies, sharpen your CV-writing and interviewing skills, and learn to impress future employers. At The Student Hotel.";"<h2>A talent-filled event in Amsterdam</h2> <p>The <strong>International Talent Event Amsterdam (ITEA)</strong> gives you the opportunity to meet startups, scale-ups and established corporates &ndash: all in an informal and playful environment that is perfect for networking. The ITEA is free of charge, simply <a href=&quot:https://www.eventbrite.com.au/e/international-talent-event-amsterdam-2017-tickets-31356589403&quot: target=&quot:_blank&quot:>sign up to attend</a>. </p> <ul>     <li>Meet businesses such as <strong>Blue Horseshoe, DHR International, Esomar, Expatica, ING, Equiniti KYC Solutions, Whirlpool, Young Financials, Atlassian, Monsanto, Team Leader, Proctor exam, UBM, Adams recruitment, FCA Netherlands, Murate Electronics, Fypster, Deskbookers, Newgen Payments, Booking.com, TIP Trailor Service, Pupply, ADIDAS, Projob, </strong><strong>Freightex</strong> and many others who will be recruiting international talent for their internships and graduate jobs.</li>     <li>Get your <strong>LinkedIn </strong>profile picture taken by <strong>Young Financials</strong>' professional photographer.</li>     <li>Receive individual CV and LinkedIn feedback from corporate recruiters and career professionals.</li>     <li>Get speed coaching, a crash-course in general career guidance, giving you the chance to ask questions to an experienced coach.</li>     <li>Ask specialists about the orientation year permit for recent graduates, the <strong>30% tax  ruling</strong>, <strong>tax refunds</strong> and many other official matters.</li>     <li>Meet with potential employers in a one-to-one setting.</li>     <li>Join company workshops, guest lectures and career-skills workshops on topics such as &lsquo:Finding a job after graduation&rsquo:, &lsquo:How to write a winning CV&rsquo: and &lsquo:<strong>LinkedIn</strong>&rsquo:.</li>     <li>Get to know the companies through a 10-minute &lsquo:pitch and talk&rsquo: session, in which potential employers pitch their company to you in a silent disco style, with the chance to ask questions afterwards.</li> </ul>";"Sa 21 April 2018 09:00 hour, Explanation: Date to be confirmed.";"";"2.3.1";"The Student Hotel Amsterdam City";"AMSTERDAM";"Wibautstraat 129";"1091 GL";"52,3546520";"4,9128820";"http://www.iamsterdam.com/itea";"https://media.iamsterdam.com/ndtrc/Images/47/47f6bd1c-c5fd-46c4-aebf-367a6369a967/8106d080-9ee3-4749-84ce-12f12700bce9.jpg";"https://media.iamsterdam.com/ndtrc/Images/47/47f6bd1c-c5fd-46c4-aebf-367a6369a967/8106d080-9ee3-4749-84ce-12f12700bce9.jpg";"";"";"21-04-2018";"";"2017-06-13 11:52:53";
"d815e998-5999-4bd8-b8a1-077242c56e88";"IAmExpat Fair";"IAmExpat Fair is een bijeenkomst voor expats en lokale bedrijven uit Amsterdam. Het evenement wordt gehouden in de Westergasfabriek in Amsterdam.";"";"Zo 25 maart 2018, Toelichting: Datum onder voorbehoud.";"IamExpat Fair";"The IamExpat Fair is designed as a meeting place for expats and local businesses in Amsterdam and the rest of the Netherlands. The fair takes place at Amsterdam?s Westergasfabriek.  ";"<h2>Supporting Amsterdam&rsquo:s expat community</h2> <p>The <a href=&quot:http://amsterdam.iamexpatfair.nl&quot:>IamExpat Fair</a> aims to connect and support the expat community, helping people to find services and businesses, learn how to navigate life in the Netherlands and connect with other expats, organisations and the international community. The international one-day event host stands from companies and organisations working in housing, careers, education, expat services, health, leisure and family needs. There are also free workshops and presentations throughout the day.</p> <h2>Extensive programme</h2> <p>Visitors to the fair can get assistance in finding a rental property or understanding mortgages in the Netherlands: meet with recruiters and companies that are hiring: attend workshops about living and working in the Netherlands: learn about advancing their career through professional development: benefit from many special offers: find local health and lifestyle organisations and generally connect with like-minded locals and expats from around the world. </p> <h2>More information and booking</h2> <p>Please note that the fair is free but registration is required. Book your ticket <a href=&quot:https://www.eventbrite.com/e/iamexpat-fair-amsterdam-2017-registration-26135318441&quot:>here</a>.</p>";"Su 25 March 2018, Explanation: Date to be confirmed.";"";"2.3.1";"Westergasfabriek";"AMSTERDAM";"Polonceaukade 27";"1014 DA";"52,3859370";"4,8714400";"http://www.iamexpatfair.nl/";"https://media.iamsterdam.com/ndtrc/Images/d8/d815e998-5999-4bd8-b8a1-077242c56e88/865b42fd-2951-46e1-be1d-76d74cd6d484.jpg,https://media.iamsterdam.com/ndtrc/Images/d8/d815e998-5999-4bd8-b8a1-077242c56e88/a4e1a00f-feba-4c82-a91e-5d53f1f80015.jpg";"https://media.iamsterdam.com/ndtrc/Images/d8/d815e998-5999-4bd8-b8a1-077242c56e88/865b42fd-2951-46e1-be1d-76d74cd6d484.jpg";"";"";"25-03-2018";"";"2017-06-13 11:42:37";
"0cc79745-3ab4-443c-812a-2f6b041c7f83";"Job Fair for Internationals";"In het World Trade Center in Amsterdam vindt een evenement plaats voor iedereen die een internationale carrière wil opbouwen in Nederland. ";"";"Zo 20 mei 2018 10:00 - 17:00 uur, Toelichting: Datum onder voorbehoud.";"Job Fair for Internationals";"Organised by Expatica, the Job Fair for Internationals is an event for everyone pursuing an international career in the Netherlands. The upcoming edition will take place in the World Trade Center in Amsterdam on Saturday, 20 May 2017.";"<h2>Building a career in the Netherlands</h2> <p>The <strong>Job Fair for Internationals</strong> offers expats the exclusive opportunity to discover more about <strong>multilingual employment opportunities</strong> in Amsterdam, as well any vacancies that are currently open. Visitors to this fair can also set up an online profile and CV on the Job Fair's website that can be accessed by companies attending the event, as well as having access to the job and career-focused presentations taking place throughout the day.</p>";"Su 20 May 2018 10:00 - 17:00 hour.";"";"2.3.1";"World Trade Center";"AMSTERDAM";"Strawinskylaan 1";"1077 XW";"52,3402590";"4,8739720";"http://jobfair.expatica.com/,http://www.jobfairforinternationals.nl/tickets/?ac=ExpatcenterAdam";"https://media.iamsterdam.com/ndtrc/Images/0c/0cc79745-3ab4-443c-812a-2f6b041c7f83/6f11b6b2-df48-48e8-8537-5454492cd59c.jpg";"https://media.iamsterdam.com/ndtrc/Images/0c/0cc79745-3ab4-443c-812a-2f6b041c7f83/6f11b6b2-df48-48e8-8537-5454492cd59c.jpg";"";"";"20-05-2018";"";"2017-06-13 11:55:29";
"8eb2691e-d70c-4752-b431-eefdcfa740bb";"Unfair Amsterdam";"Deze bruisende kunstbeurs keert terug naar Amsterdam in het voorjaar in de Zuiveringshal op het Westergasterrein. Unfair Amsterdam biedt een podium aan een aantal van de meeste innovatieve kunstenaars in Nederland en richt zich op jong en net afgestudeerd talent. ";"<h2>Nieuwe generatie kunstenaars in Amsterdam</h2> De kunstbeurs is de perfecte plek om inspiratie op te doen, designers te ontmoeten en met een uniek kunstwerk naar huis te gaan. De kunstenaars kunnen de volledige opbrengst van verkocht werk in hun eigen zak steken.<br /> <br /> Ga naar de Unfair Amsterdam website voor de volledige line-up en meer informatie.";"Do 29 maart 2018, vr 30 maart 2018, za 31 maart 2018, zo 1 april 2018, ma 2 april 2018.";"Unfair Amsterdam";"Unfair Amsterdam is an energising art fair that shines a light on some of the Netherlands? most innovative designers and artists, focusing on young and newly graduated talents.";"<h2>Unfair: the art of Amsterdam&rsquo:s new generation</h2> <strong>Unfair Amsterdam</strong> is a perfect place to get inspired, meet the artists and go home with a bargain. The artists&rsquo: even keep all their profit &ndash: how&rsquo:s that for fair? Participating artists are invited by a curatorial panel featuring experts from Amsterdam's <strong>independent gallery scene</strong> as well as other <strong>modern art</strong> experts from the Netherlands.<br /> <br /> The full line-up and further details can be found on the <a target=&quot:_blank&quot: href=&quot:http://www.unfairamsterdam.nl/&quot:>Unfair Amsterdam website</a>.";"Th 29 March 2018, Fr 30 March 2018, Sa 31 March 2018, Su 1 April 2018, Mo 2 April 2018.";"";"2.3.1";"Zuiveringshal Westergasterrein";"AMSTERDAM";"Pazzanistraat 37";"1014 DB";"52,3861890";"4,8718430";"http://www.unfairamsterdam.nl/";"https://media.ndtrc.nl/Images/20130308/f49d8880-d1dc-4425-a11e-845d9d3ad8c2.jpg";"https://media.ndtrc.nl/Images/20130308/f49d8880-d1dc-4425-a11e-845d9d3ad8c2.jpg";"";"";"29-03-2018,30-03-2018,31-03-2018,01-04-2018,02-04-2018";"";"2017-06-30 12:35:17";
