"Trcid";"Title";"Shortdescription";"Longdescription";"Calendarsummary";"TitleEN";"ShortdescriptionEN";"LongdescriptionEN";"CalendarsummaryEN";"Types";"Ids";"Locatienaam";"City";"Adres";"Zipcode";"Latitude";"Longitude";"Urls";"Media";"Thumbnail";"Datepattern_startdate";"Datepattern_enddate";"Singledates";"Type1";"Lastupdated";
"7c2fc059-a3b1-494f-bd87-f07493ac5726";"Arrangement 'Beleef de Bazel - Cultuur & Culinair'";"Het arrangement ziet er als volgt uit: Koninklijke ontvangst in Café De Bazel met koffie en Wilhelmina taart. Daarna maak je samen met een deskundige gids een geanimeerde rondwandeling door het mooie gebouw waarbij je veel hoogtepunten te zien krijgt zoals de voormalige bestuurskamers en de Schatkamer met de fraaie fresco's in Art Nouveau stijl. Ook het leven van architect De Bazel en de kunsthistorische context komen aan de orde. Na de excursie staat een royale Afternoon Tea voor je klaar.";"";"Toelichting: Tours alleen mogelijk op afspraak.";"Package 'Experience de Bazel - Culture & Culinary'";"The package includes the following: Royal reception at café De Bazel with coffee and Wilhelmina pie. A qualified guide will enthusiastically guide you through the gorgeous building with highlight such as the Treasure Room and the beautiful Art Nouveau frescos. After the excursion the Afternoon Tea will be served.";"";"";"";"2.11.1";"";"AMSTERDAM";"Vijzelstraat 32";"1017 HL";"52,3653810";"4,8928240";"http://www.debazelamsterdam.nl";"https://media.iamsterdam.com/ndtrc/Images/20110223/f6ac3a05-42a3-4f21-8118-134bbddf3e3c.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110223/f6ac3a05-42a3-4f21-8118-134bbddf3e3c.jpg";"";"";"";"";"2016-01-11 16:56:10";
"885bdfe7-069f-4ef6-9f53-491685c4f317";"Aan boord keukens proeven, Classic Canal Charters";"Een 'running dinner' aan boord is genieten van verschillende uitstekende keukens op het water terwijl een uniek Amsterdams decor aan je voorbij trekt. Voor iedere gang vaar je naar een ander restaurant.";"Classic Canal Charters werkt daarbij samen met het Amstel Hotel, Hotel de l'Europe en Restaurant Zuid Zeeland. Dit arrangement is geschikt voor gezelschappen van 6 tot 25 personen.<br /> <br /> Kijk voor meer informatie en boekingen op de website.";"";"Running dinner, Classic Canal Charters";"Classic Canal Charters offers round trips with classic boats and saloon boats in Amsterdam. The customer decides the course to be taken, the stops and the length of the round trip.";"";"";",";"2.11.1,2.11.2";"";"AMSTERDAM";"Czaar Peterstraat 147 HS";"1018 PH";"52,3707990";"4,9305450";"http://www.classiccanalcharters.com";"https://media.iamsterdam.com/ndtrc/Images/20110224/04f9663f-558d-4776-8f20-453609ae9936.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110224/04f9663f-558d-4776-8f20-453609ae9936.jpg";"";"";"";"";"2015-06-23 10:08:58";
"806c5b12-291b-4455-9ca7-8e301fe4f365";"Comedy Diner Arrangement";"Het Comedy Diner Arrangement is een echte belevenis en is een compleet avondje uit. De Stand Up Comedy Club bevindt zich in hartje Centrum precies tussen het Centraal Station en de Dam in op de Oudebrugsteeg 7, café Heffer. Met op loopafstand de Zeedijk en de Nieuwmarkt een van de meest bruisende buurten van onze hoofdstad.";"";"Altijd open";"Comedy Diner Arrangement";"";"";"Altijd open";"";"2.11.1";"";"AMSTERDAM";"Oudebrugsteeg 7";"1012 JN";"52,3752580";"4,8974550";"http://www.amsterdamtour.nl";"https://media.iamsterdam.com/ndtrc/Images/20110309/fd1483f7-c650-463a-bd5c-feae71d365c4.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110309/fd1483f7-c650-463a-bd5c-feae71d365c4.jpg";"09-03-2011";"";"";"";"2015-10-26 11:38:17";
"dac4c7b5-28b0-42ad-90f2-6afcd126816d";"De verborgen stad Amsterdam";"Terug in de tijd van de 17e eeuw naar de 13e eeuw. De Amsterdamse Watertaxi Centrale heeft een uniek arrangement samengesteld.";"Heb je je ooit afgevraagd waarom de hele wereld juist de Rosse Buurt van Amsterdam kent? En waar komen toch de rode lichtjes vandaan? Weet je wie Rembrandt de opdracht gaf om de Nachtwacht te schilderen en waarom eigenlijk? Waar komen uitdrukkingen als 'vechten tegen de bierkaai' of 'in de aap gelogeerd' vandaan? Hoe zag de stad er in de Middeleeuwen uit en hoe zijn de verdedigingswallen ontstaan?<br /> <br /> <strong>Per boot</strong><br /> Aan boord van een vip-watertaxi word je op de vooraf afgesproken tijd en plaats verwelkomd met een Oud-Hollandsch Van Wees likeurtje. Het eerste uur vaar je door de zeer smalle grachten van het oudste Amsterdam (Rosse Buurt) 'terug in de tijd'. Een route, waar geen rondvaartboot kan komen en dus op voorhand al een unieke belevenis.<br /> <br /> <strong>Te voet</strong><br /> Het tweede uur gaat de tocht verder te voet, om ook de plekken aan te doen waar de boot niet kan komen. Je passeert niet alleen het oudste beroep, maar ook de oudste kerk, de oudste straten en de oudste huizen van Amsterdam. Gedurende het programma vertelt de gids over de kleine, stille getuigen van dat hele oude Amsterdam. Het arrangement wordt afgesloten met een afscheidsdrankje in een typisch caf&eacute:.";"";"The hidden city Amsterdam";"Back in time from the 17th to the 13th century. The Amsterdam Watertaxi Centrale has compiled an unique arrangement.";"";"";"";"2.11.1";"";"AMSTERDAM";"Stationsplein 8";"1012 AB";"52,3776970";"4,9004240";"http://www.water-taxi.nl";"https://media.iamsterdam.com/ndtrc/Images/20110310/62d58443-113e-4600-b36d-44f17a324b06.jpg,https://media.iamsterdam.com/ndtrc/Images/20110310/fb99e7c4-e1ec-4b5c-b35a-18b513553491.jpg,https://media.iamsterdam.com/ndtrc/Images/20110310/2531972c-a9b6-491d-8995-62f84796fcf4.jpg,https://media.iamsterdam.com/ndtrc/Images/20110310/0f4e1631-2e14-46b2-a019-c6d7ab4de1c2.jpg,https://media.iamsterdam.com/ndtrc/Images/20110310/f8f90100-601d-4f6c-9e3b-2653661e2c1d.jpg";"https://media.iamsterdam.com/ndtrc/Images/20110310/62d58443-113e-4600-b36d-44f17a324b06.jpg";"";"";"";"";"2016-07-19 10:25:46";
"e931f901-f790-4c79-a9da-3b10638cc11e";"Hou van Holland Arrangement";"Het Hou van Holland Arrangement is een compleet uitje in de binnenstad van Amsterdam. Dit groepsuitje bestaat uit drie onderdelen die zich uitermate goed met elkaar laten combineren.";"<div><strong>Spelprogramma</strong></div> <div>De dag begint met het Crazy 88 spelprogramma. Tijdens dit hilarische en knotsgekke spelprogramma is het de bedoeling dat je, verdeeld in teams, de meest idiote en doldwaze opdrachten gaat vervullen in de binnenstad van Amsterdam.</div> <div><br /> </div> <div><strong>Borrelboot</strong></div> <div>Na dit spelprogramma ga je mee op de borrelvaart. Onder het genot van een onbeperkte Hollandse bar en een koud drankje binnen handbereik kun je genieten van al het moois dat Amsterdam te bieden heeft. Na anderhalf uur zal de schipper je afzetten bij het restaurant voor het volgende onderdeel: Het Hou van Holland Speldiner.</div> <div><br /> </div> <div><strong>Diner</strong></div> <div>Tijdens het Hou van Holland Diner speel je tussen de gerechten door de nostalgische Hou van Holland Quiz. De spelleiders testen je &quot:Hollandse kennis&quot:. Het Hou van Holland spel bestaat uit verschillende rondes die je tussen de gerechten van het drie gangen diner door speelt.</div>";"Toelichting: Tour alleen op afspraak.";"Love Holland Package";"";"";"";"";"2.11.1";"Hou van Holland Arrangement";"AMSTERDAM";"Gillis van Ledenberchstraat 78";"1052 VK";"52,3763370";"4,8717500";"http://www.getevents.nl";"https://media.iamsterdam.com/ndtrc/Images/20120425/69cc1b2b-403a-45cf-97c9-02d36911bb98.jpg,https://media.iamsterdam.com/ndtrc/Images/20120425/2b9f9aec-dcd9-4ade-8d34-8a0be71c0c24.jpg,https://media.iamsterdam.com/ndtrc/Images/20120425/b7b4b9fb-a83c-48a3-95d5-d999dffa5906.jpg";"https://media.iamsterdam.com/ndtrc/Images/20120425/69cc1b2b-403a-45cf-97c9-02d36911bb98.jpg";"";"";"";"";"2015-07-13 13:54:39";
"a24f2c65-7dea-4376-ac12-3ac851c0a9e9";"Arrangementen Amsterdam Yellow Bike";"Voor groepen die een compleet programma zoeken voor een dagje Amsterdam, zijn er arrangementen samengesteld. Een cocktail van mogelijkheden op de fiets, te voet, met een leuke gids in kleine groepjes of op eigen houtje met uw groep.";"Voor meer informatie kun je  <a target=&quot:_blank&quot: href=&quot:&ldquo:http://www.yellowbike.nl/&rdquo:&quot:>terecht op de site</a>&nbsp:van Yellow Bike.";"";"Arrangements Yellow Bike";"Arrangements are offered for groups looking for a complete one-day programme in Amsterdam. A variety of possibilities on bike, foot, with a friendly guide in small groups or on your own with your own group.";"For groups with a minimum of eight persons who seek a complete program, Yellow Bike offers a number of attractive packages. For example, join one of the bike tours in the morning followed by a lunch before ending your day with a canal cruise.<br /> <br /> Yellow Bike offers several packages including bike tours, lunches, dinners and canal cruises.";"";"";"2.11.1";"Arrangementen Amsterdam Yellow Bike";"AMSTERDAM";"Nieuwezijds Kolk 29";"1012 PV";"52,3761690";"4,8939350";"http://www.yellowbike.nl";"https://media.iamsterdam.com/ndtrc/Images/a2/a24f2c65-7dea-4376-ac12-3ac851c0a9e9/c1bcd79a-7d48-4358-9662-5bacb5731b0e.jpg,https://media.iamsterdam.com/ndtrc/Images/20120516/10b38dd3-d615-4f65-9075-21a80679126a.jpg,https://media.iamsterdam.com/ndtrc/Images/20120516/79c2230a-3098-40a4-a4c3-747c714b7f5d.jpg,https://media.iamsterdam.com/ndtrc/Images/20120516/088d34fc-301a-4538-8e80-57ed084040cb.jpg";"https://media.iamsterdam.com/ndtrc/Images/a2/a24f2c65-7dea-4376-ac12-3ac851c0a9e9/c1bcd79a-7d48-4358-9662-5bacb5731b0e.jpg";"";"";"";"";"2016-04-04 16:51:58";
"d69a2734-67fb-40e9-8b45-f58d04cf019d";"GPS Tocht Jordaan";"Mokum per satellietplaatsbepalingssysteem. U kent dit begrip waarschijnlijk beter als GPS, wat Global Positioning System betekent. U weet wel, het systeem waarmee die aardige Belgische dame u de weg wijst als u in de auto zit. ";"<div>Mokum Events laat u Amsterdam verkennen met behulp van GPS. Met behulp van co&ouml:rdinaten die u opkrijgt en intoetst in de GPS ontvanger wordt u, via 24 verschillende satellieten, exact aangegeven wat de kortste route naar het opgegeven eindpunt is.<br /> <br /> MAAR: deze route is weliswaar de kortste route naar de locatie, maar satellieten kunnen alleen in rechte lijn (dus hemelsbreed) aangeven waar uw doel ligt. U moet dus z&egrave:lf de juiste straatjes, steegjes en grachtjes door verschillende authentieke Amsterdamse volksbuurten zien te vinden, waarlangs u uiteindelijk (zo snel mogelijk!) de te vinden locatie moet zien te bereiken. Jazeker, zo snel mogelijk, want de snelste wint de hoofdprijs.&nbsp:<br /> <br /> Deze GPS tochten vinden plaats in 2 verschillende gebieden: het ene gebied is het bekende, populaire, beetje frivole Mokum (De oude binnenstad) en het andere laat u meer de serieuze, mooie historische kant van Amsterdam zien (De Jordaan en de Grachtengordel). Aan u de keuze.</div> <div><br /> </div> <div><br /> </div>";"";"GPS Tocht Jordaan";"";"";"";"";"2.11.1";"";"AMSTERDAM";"Damrak 44-2a";"1012 LK";"52,3755590";"4,8962550";"http://amsterdam.mokumevents.nl";"https://media.iamsterdam.com/ndtrc/Images/20120516/7059dc1b-1b40-4952-923d-7e35e58153f9.jpg";"https://media.iamsterdam.com/ndtrc/Images/20120516/7059dc1b-1b40-4952-923d-7e35e58153f9.jpg";"";"";"";"";"2015-06-24 12:06:33";
"e8e242f9-0ff8-4fb1-872f-cf4a8e3462ff";"Crazy 88";"Crazy 88 is doorgedraaid, spannend en komisch. Bent u ècht klaar voor de stad? Mokum Events komt nu met het meest hilarische uitje van Nederland. Dit waanzinnige opdrachtenspel is gebaseerd op het spraakmakende BNN televisieprogramma Crazy 88.   ";"Crazy 88 staat voor 88 (t&egrave:) gekke opdrachten, die binnen een bepaalde tijd dienen te worden uitgevoerd.&nbsp:Nu vond Mokum Events 88 opdrachten wel erg veel en heeft er daarom 10 van gemaakt:<br /> <br /> 1. Drink een kopje koffie bij iemand thuis<br /> 2. Verdien een euro als straatartiest&nbsp:<br /> 3. Doe midden op de Dam allemaal tegelijk een gechoreografeerde dans...<br /> <br /> De andere opdrachten zijn nog uitdagender, grappiger en vooral crazier.<br /> <br /> U wordt in het centrum van Amsterdam opgesplitst in teams van 5 - 8 personen en op pad gestuurd met 10 belachelijke, hilarische en uitzinnige opdrachten. De uitvoering van de opdrachten moet als bewijs worden vastgelegd met de filmcamera en dit alles ook nog eens binnen de aangegeven tijd! Kortom: welk team voert de opdrachten het beste uit en is het gekst en het snelst?<br /> <br /> Moge de craziest winnen. <div><br /> </div>";"";"Crazy 88";"Crazy 88 is twisted, exciting and comical. Are you truly ready for the town? Mokum Events now comes forth with the funniest outing of the Netherlands. This marvellous presentation is based on the well-known BNN TV program Crazy 88. Crazy 88 stands for 88 (too) fantastic requests, which have to be carried out within a specific time. ";"<div>At Mokum Events, we thought that 88 assignments is perhaps too much and have reduced this to 10: <br /> <br /> 1. Have a cup of coffee with someone who is at home&nbsp:<br /> 2. Earn one euro as a street artist&nbsp:<br /> 3. All together you must perform a choreographed dance in the middle of the 'Dam' ...&nbsp:<br /> <br /> Assignment 4, 5, 6, 7, 8, 9 and 10 are far more challenging, far<br /> funnier and especially even more ....crazier.<br /> <br /> In the centre of Amsterdam you are divided into teams of 5-8 and are send out on 10 ludicrous, hilarious and frenzied assignments. The carrying out of assignments must be recorded on film as this will serve as evidence and all of it is to be carried out within a specified time as well! In brief: the team that carries out the assignments the best and is the funniest...euh we mean the fastest.<br /> <br /> May the craziest win.</div> <div><br /> </div>";"";"";"2.11.1";"";"AMSTERDAM";"Damrak 44-2a";"1012 LK";"52,3755590";"4,8962550";"http://amsterdam.mokumevents.nl";"https://media.iamsterdam.com/ndtrc/Images/20120516/87c6ead3-1601-4577-a2be-5a99a03b18f6.jpg";"https://media.iamsterdam.com/ndtrc/Images/20120516/87c6ead3-1601-4577-a2be-5a99a03b18f6.jpg";"";"";"";"";"2015-06-24 12:06:33";
"f4d4f4e6-ef09-4702-b28e-e8a28948ee22";"Comedy Diner Arrangement in Café Heffer";"Zin in een gezellig en ouderwets avondje uit waarbij humor en lekker eten centraal staat? Dan is het Comedy Diner Arrangement echt iets voor jou. Deze complete avond uit is ideaal als bedrijfsuitje, verjaardag of  vrijgezellenfeestje, maar is ook uitermate geschikt voor een avondje uit gezellig met z'n tweetjes.";"<div>Om 18.30 uur gaan de deuren open en word je hartelijk verwelkomt in het gezellige theaterrestaurant. De avond begint met een driegangendiner. Tijdens dit diner is er de keuze uit drie voorgerechten, drie hoofdgerechten en een dessert. Vervolgens is het tijd voor de Comedy Show. Tijdens deze wervelende show trakteren drie professionele comedians op top stand-up comedy van Nederlandse bodem. De avond wordt aan elkaar gepraat door een MC.<br /> <br /> Het is aan te raden om van te voren te reserveren. Voor reserveringen kun je contact opnemen met Caf&eacute: Heffer via info@heffer.nl of 020-4284488.</div> <div><br /> </div>";"";"Comedy Dinner Arrangement in Café Heffer";"Enjoy a fantastic evening out at Café Heffer that incorporates great humour and dining. The Comedy Dinner arrangement is an excellent choice for corporate events, birthdays or other parties, as well as a fun option for couples!";"";"";"";"2.11.1";"";"AMSTERDAM";"Oudebrugsteeg 7";"1012 JN";"52,3752580";"4,8974550";"http://www.heffer.nl";"https://media.iamsterdam.com/ndtrc/Images/20120516/4f2b258f-d59f-4943-9e1c-1ed15252ebea.jpg";"https://media.iamsterdam.com/ndtrc/Images/20120516/4f2b258f-d59f-4943-9e1c-1ed15252ebea.jpg";"";"";"";"";"2017-03-13 14:24:29";
"b0ee75d6-2dd5-4f23-bf78-5aac3ad23739";"Zeiltochten met de Eilandhopper";"Op 6 juli 2013 begint de Eilandhopper weer, de zeilende veerdienst van Amsterdam naar Groningen via alle waddeneilanden. Alweer 5 jaar bestaat de dienstregeling tussen de eilanden.";"Nieuw dit jaar is het beurtschip de Nescio, die van Groningen station naar Lauwersoog en Schiermonnikoog vaart. <br /> <br /> Je kunt op de website www.eilandhopper.nl een kaartje kopen. Voor een dagje of een gehele zeilweek: alleen, met z&rsquo:n twee&euml:n, met gezin of met groepje vrienden.";"Altijd open";"Zeiltochten met de Eilandhopper";"";"";"Always open";"";"2.11.1";"VOF Eilandhopper";"AMSTERDAM";"Van Diemenstraat 14";"1013 CR";"52,3898310";"4,8896940";"http://www.eilandhopper.nl";"https://media.iamsterdam.com/ndtrc/Images/20120605/1b41137d-2f4e-41d0-8bc2-26108f0d5896.jpg";"https://media.iamsterdam.com/ndtrc/Images/20120605/1b41137d-2f4e-41d0-8bc2-26108f0d5896.jpg";"06-07-2013";"";"";"";"2015-06-23 10:08:59";
